rank,x0,y0,d,theta0_degree,delta_theta_degree,gain,mse,rmse
76,39.7723,55.2217,0.2813,30.5910,0.9846,1.3988,46.6261,6.8283
77,39.4841,56.5049,0.2835,29.8164,1.0122,1.3977,46.8316,6.8434
78,40.8944,58.2098,0.2775,28.4913,1.0149,1.3823,47.0035,6.8559
79,41.9115,55.7969,0.2708,30.3373,1.0028,1.3682,47.0536,6.8596
80,41.6079,57.6409,0.2735,27.9217,0.9882,1.3782,47.0647,6.8604
81,41.0993,58.5534,0.2768,27.6758,1.0004,1.3836,47.0657,6.8604
82,41.9903,55.7124,0.2704,29.6193,0.9818,1.3717,47.1139,6.8640
83,40.9108,53.8871,0.2750,32.9862,0.9700,1.3862,47.3042,6.8778
84,42.0306,56.7489,0.2708,27.4841,0.9988,1.3689,47.3302,6.8797
85,41.1316,56.9360,0.2754,28.8963,1.0268,1.3742,47.7048,6.9069
86,41.1830,56.8301,0.2751,30.4251,0.9624,1.3878,47.7598,6.9108
87,40.4361,53.8524,0.2774,31.7001,1.0016,1.3846,47.7708,6.9116
88,39.7493,56.4235,0.2821,28.5123,0.9945,1.3978,47.8460,6.9171
89,40.3221,57.6899,0.2800,29.0985,0.9802,1.3959,47.9736,6.9263
90,41.1604,53.7911,0.2737,32.6697,0.9761,1.3812,48.1758,6.9409
91,39.4156,55.4812,0.2833,30.0347,1.0065,1.3978,48.2708,6.9477
92,40.9954,58.7508,0.2774,26.7640,1.0088,1.3829,48.3583,6.9540
93,42.0357,56.6429,0.2707,29.5625,1.0048,1.3668,48.5700,6.9692
94,39.8834,58.1545,0.2826,28.7637,1.0057,1.3962,48.6084,6.9720
95,41.5522,55.1355,0.2723,30.1560,1.0165,1.3681,48.7739,6.9838
96,40.3440,54.5128,0.2781,30.2921,0.9801,1.3909,48.7795,6.9842
97,39.4542,55.0308,0.2828,31.7452,0.9959,1.3990,48.8258,6.9875
98,40.4963,57.3668,0.2789,27.9701,1.0353,1.3806,48.8807,6.9915
99,41.4824,57.4357,0.2740,28.9922,1.0184,1.3719,48.9924,6.9995
100,41.7586,57.0505,0.2724,28.3492,1.0216,1.3671,49.0704,7.0050
101,40.7398,58.4322,0.2785,28.2578,1.0180,1.3831,49.0790,7.0056
102,41.8308,57.0415,0.2720,27.4572,0.9883,1.3734,49.1277,7.0091
103,41.5003,53.9131,0.2720,31.6570,0.9884,1.3735,49.4128,7.0294
104,40.2282,56.0243,0.2794,29.3021,0.9751,1.3950,49.4172,7.0297
105,39.3541,55.5512,0.2836,32.0334,0.9979,1.4001,49.4579,7.0326
106,41.0300,58.2612,0.2769,29.0253,1.0135,1.3799,49.5566,7.0396
107,40.6090,58.2680,0.2790,27.6772,0.9895,1.3905,49.7424,7.0528
108,41.3855,58.3761,0.2752,26.8002,1.0238,1.3734,49.7862,7.0559
109,40.7914,58.5498,0.2783,25.9361,1.0064,1.3850,49.8584,7.0610
110,39.7838,55.9940,0.2817,31.2651,1.0171,1.3907,50.0682,7.0759
111,40.7639,53.4720,0.2756,32.9306,0.9917,1.3815,50.0860,7.0771
112,39.3428,56.1921,0.2840,28.6897,1.0247,1.3948,50.1408,7.0810
113,39.3250,56.6305,0.2843,28.7989,1.0050,1.4001,50.1611,7.0824
114,40.4909,55.7207,0.2780,30.8000,1.0240,1.3800,50.2410,7.0881
115,40.3197,56.7823,0.2794,28.6482,0.9767,1.3941,50.4240,7.1010
116,41.8327,56.7966,0.2718,27.9632,1.0273,1.3639,50.5964,7.1131
117,40.1605,53.7026,0.2787,32.0502,0.9818,1.3914,50.6211,7.1149
118,39.9239,58.1382,0.2823,26.5658,1.0124,1.3933,50.6339,7.1158
119,41.4646,57.4959,0.2741,27.2862,0.9843,1.3790,50.6445,7.1165
120,41.5428,58.4801,0.2745,27.2524,1.0162,1.3729,50.6759,7.1187
121,39.6038,54.5172,0.2819,32.2943,1.0015,1.3945,50.7518,7.1240
122,40.1329,58.3042,0.2814,27.1619,1.0012,1.3934,50.8654,7.1320
123,39.9046,56.2374,0.2812,30.6217,0.9657,1.4009,50.9223,7.1360
124,41.4754,58.4076,0.2748,26.2385,0.9983,1.3773,51.2783,7.1609
125,40.5997,54.7448,0.2769,31.2844,1.0205,1.3777,51.2831,7.1612
126,41.5841,57.6261,0.2736,28.9996,0.9712,1.3804,51.4127,7.1703
127,40.0205,56.7062,0.2809,27.0631,0.9951,1.3932,51.4430,7.1724
128,41.2505,53.6040,0.2732,31.4139,0.9811,1.3772,51.6236,7.1850
129,39.6925,57.2309,0.2829,29.0721,0.9844,1.4004,51.6899,7.1896
130,39.7414,57.0047,0.2825,27.7858,0.9940,1.3972,51.7794,7.1958
131,40.9834,57.5059,0.2766,27.1042,0.9840,1.3846,51.8070,7.1977
132,39.5534,57.8051,0.2840,27.1120,1.0145,1.3963,51.8244,7.1989
133,40.9054,57.7534,0.2771,27.2244,1.0397,1.3740,51.9292,7.2062
134,40.6628,59.0727,0.2794,27.3089,1.0034,1.3874,51.9637,7.2086
135,40.2659,58.8758,0.2812,26.0060,1.0207,1.3881,52.0845,7.2170
136,40.4992,54.7893,0.2775,31.4126,1.0211,1.3786,52.1801,7.2236
137,40.8491,53.7949,0.2753,33.5430,0.9973,1.3785,52.2036,7.2252
138,41.6992,58.6710,0.2739,26.5216,1.0143,1.3712,52.2259,7.2267
139,39.8673,58.1773,0.2827,28.4830,0.9922,1.3978,52.3331,7.2342
140,40.2918,58.4172,0.2807,23.8638,1.0441,1.3820,52.3911,7.2382
141,40.4313,58.5778,0.2801,26.0737,1.0048,1.3888,52.4008,7.2388
142,40.7705,57.6162,0.2777,29.9315,1.0218,1.3789,52.4471,7.2420
143,42.3882,56.7262,0.2690,29.8204,0.9778,1.3668,52.5691,7.2505
144,42.2538,57.6638,0.2703,27.8241,0.9958,1.3660,52.5857,7.2516
145,42.4087,56.3582,0.2687,29.7064,0.9966,1.3617,52.5987,7.2525
146,39.5196,54.4953,0.2823,31.0793,1.0122,1.3923,52.6223,7.2541
147,39.3364,57.7453,0.2850,28.0582,1.0181,1.3976,52.7852,7.2653
148,39.6565,57.3758,0.2831,30.3325,1.0201,1.3925,52.8351,7.2688
149,39.9389,56.2433,0.2810,30.6603,0.9617,1.4006,52.8854,7.2722
150,41.4944,58.9605,0.2751,25.8659,1.0074,1.3755,53.0077,7.2806
151,40.1004,54.8349,0.2795,30.1074,0.9730,1.3941,53.1332,7.2893
152,40.9875,53.2448,0.2744,31.5618,0.9883,1.3779,53.2213,7.2953
153,41.6747,54.2986,0.2713,30.3883,1.0137,1.3643,53.2366,7.2963
154,41.0652,56.8649,0.2757,28.1976,1.0405,1.3697,53.3444,7.3037
155,42.2811,57.7444,0.2702,27.6863,0.9959,1.3655,53.4443,7.3106
156,39.2039,55.1251,0.2842,31.1584,0.9872,1.4022,53.5602,7.3185
157,42.0333,58.1576,0.2718,27.1464,0.9923,1.3701,53.5968,7.3210
158,41.4486,58.3461,0.2749,26.4463,0.9909,1.3781,53.6322,7.3234
159,40.7567,53.1222,0.2755,33.4768,0.9902,1.3801,53.6456,7.3243
