rank,x0,y0,d,theta0_degree,delta_theta_degree,gain,mse,rmse
329,39.3864,58.2447,0.2851,26.7278,0.9960,1.3972,65.6663,8.1035
330,38.4680,57.1743,0.2890,31.2208,0.9960,1.4067,65.7039,8.1058
331,39.0088,58.6413,0.2873,28.5091,1.0012,1.4014,65.7232,8.1070
332,39.9541,54.9230,0.2803,31.3917,1.0376,1.3763,65.7885,8.1110
333,41.3042,56.9926,0.2746,27.9169,1.0535,1.3591,65.8323,8.1137
334,39.2328,57.0936,0.2851,28.8388,0.9741,1.4020,65.8723,8.1162
335,42.1395,59.5795,0.2724,26.5002,1.0106,1.3626,65.9587,8.1215
336,39.7809,59.8485,0.2845,26.7456,1.0119,1.3920,65.9789,8.1227
337,38.8889,58.2976,0.2877,27.5619,1.0080,1.4006,66.0574,8.1276
338,41.2014,59.7045,0.2772,25.6780,0.9898,1.3789,66.0582,8.1276
339,39.5938,52.4555,0.2813,35.7963,0.9648,1.3951,66.0619,8.1279
340,39.5219,54.8061,0.2824,30.9495,1.0385,1.3812,66.1056,8.1305
341,38.5519,55.4512,0.2876,30.8649,0.9867,1.4054,66.1163,8.1312
342,41.0449,54.6201,0.2746,32.4999,1.0262,1.3645,66.1739,8.1347
343,40.9749,59.3276,0.2780,26.3636,0.9806,1.3827,66.1772,8.1349
344,39.9958,57.9828,0.2819,27.1199,0.9757,1.3933,66.3357,8.1447
345,38.4002,56.2430,0.2888,30.8769,0.9937,1.4065,66.3633,8.1464
346,39.0956,58.4032,0.2867,28.2083,0.9930,1.4015,66.4018,8.1487
347,39.1384,56.6916,0.2853,30.0272,1.0413,1.3875,66.5308,8.1566
348,42.3896,55.9165,0.2685,28.7298,0.9593,1.3633,66.6350,8.1630
349,40.4084,52.3898,0.2771,33.7009,0.9581,1.3861,66.6415,8.1634
350,39.0787,56.9551,0.2858,29.0467,1.0466,1.3875,66.6717,8.1653
351,39.7570,52.4127,0.2804,34.2792,0.9942,1.3857,66.6779,8.1657
352,39.6221,52.6864,0.2812,32.6465,0.9767,1.3917,66.6941,8.1666
353,41.9656,58.9738,0.2728,27.5034,1.0262,1.3597,66.7988,8.1731
354,39.9112,52.3900,0.2796,33.4345,0.9699,1.3895,66.8140,8.1740
355,40.4949,51.9060,0.2766,34.1632,0.9820,1.3790,66.8187,8.1743
356,42.7528,58.2096,0.2682,27.9252,1.0073,1.3523,66.8405,8.1756
357,42.4254,59.0720,0.2706,27.7713,1.0049,1.3587,66.8440,8.1758
358,39.4164,53.2364,0.2824,31.8123,0.9739,1.3952,66.8750,8.1777
359,42.0279,59.1779,0.2726,26.4660,1.0293,1.3587,66.8842,8.1783
360,40.4366,52.0502,0.2769,35.2050,0.9570,1.3858,66.9244,8.1807
361,39.7434,53.6749,0.2808,34.8113,1.0072,1.3837,66.9378,8.1816
362,38.5503,55.7217,0.2877,28.7531,1.0380,1.3939,66.9533,8.1825
363,38.4475,57.2816,0.2892,31.7958,0.9907,1.4078,67.0032,8.1855
364,40.7193,59.0895,0.2791,27.5054,0.9700,1.3874,67.0343,8.1874
365,39.9068,53.0074,0.2798,32.9124,0.9553,1.3932,67.0861,8.1906
366,39.6827,59.8894,0.2850,25.4553,1.0309,1.3888,67.1529,8.1947
367,42.6268,58.7780,0.2693,26.6346,0.9880,1.3590,67.2030,8.1977
368,38.3900,55.3209,0.2884,30.5631,1.0074,1.4019,67.2382,8.1999
369,40.6151,59.7928,0.2802,25.4328,0.9954,1.3846,67.3095,8.2042
370,38.5804,55.2351,0.2874,28.2054,1.0159,1.3975,67.3909,8.2092
371,39.1240,55.1015,0.2845,30.2522,0.9669,1.4017,67.5490,8.2188
372,39.3856,59.3238,0.2860,25.8769,1.0460,1.3878,67.5504,8.2189
373,40.9927,53.3604,0.2744,32.7371,1.0220,1.3643,67.6099,8.2225
374,41.6718,59.2701,0.2745,27.1823,0.9720,1.3752,67.6181,8.2230
375,39.5951,52.8310,0.2813,33.4201,1.0091,1.3842,67.6292,8.2237
376,40.9113,58.2320,0.2775,27.7709,0.9602,1.3850,67.6435,8.2246
377,41.7320,53.1362,0.2706,32.4231,1.0116,1.3569,67.7348,8.2301
378,38.4904,56.5023,0.2885,29.1889,1.0365,1.3956,67.7386,8.2303
379,41.7709,60.1516,0.2748,26.8772,0.9922,1.3716,67.8590,8.2377
380,40.3741,53.8135,0.2777,29.8820,1.0469,1.3671,67.9944,8.2459
381,41.6943,60.2176,0.2753,24.3111,1.0088,1.3692,67.9995,8.2462
382,41.2657,57.9846,0.2755,26.0117,0.9729,1.3771,68.0719,8.2506
383,40.2263,59.3659,0.2818,26.6784,0.9835,1.3906,68.2613,8.2620
384,42.3817,58.1689,0.2700,25.4764,0.9835,1.3612,68.3171,8.2654
385,42.1510,52.8454,0.2684,32.3136,0.9899,1.3560,68.3670,8.2684
386,39.3833,59.7269,0.2863,25.8075,1.0307,1.3914,68.5708,8.2808
387,38.3235,56.8660,0.2895,31.2785,1.0141,1.4026,68.6437,8.2851
388,39.3737,52.9477,0.2825,32.5655,1.0138,1.3855,68.6703,8.2868
389,41.3864,52.9662,0.2723,30.9208,0.9633,1.3716,68.6947,8.2882
390,42.5533,59.3226,0.2701,26.1103,0.9983,1.3583,68.7431,8.2911
391,41.7210,54.8554,0.2713,30.7365,1.0359,1.3532,68.7789,8.2933
392,40.4787,51.9466,0.2767,34.9132,0.9573,1.3844,68.8310,8.2964
393,41.5655,56.2499,0.2728,28.3023,0.9525,1.3745,68.8585,8.2981
394,38.6135,58.5242,0.2892,28.5441,1.0209,1.4002,68.8741,8.2990
395,39.5720,57.7245,0.2838,27.5749,0.9749,1.3972,68.9630,8.3044
396,40.8341,58.2483,0.2779,26.5489,0.9695,1.3834,68.9903,8.3060
397,42.2689,53.6770,0.2681,32.3905,1.0048,1.3515,69.0321,8.3086
398,40.8359,52.7381,0.2750,32.2730,1.0230,1.3649,69.2612,8.3223
399,39.4868,59.9414,0.2860,26.8429,1.0197,1.3926,69.3354,8.3268
400,42.2067,59.4581,0.2720,25.5402,0.9888,1.3646,69.4032,8.3309
401,39.1210,56.7271,0.2854,28.8049,0.9716,1.4018,69.4495,8.3336
402,41.7487,59.9685,0.2747,24.8412,1.0356,1.3617,69.4867,8.3359
403,39.7215,54.0549,0.2811,31.1750,1.0397,1.3763,69.5051,8.3370
404,38.4395,57.9440,0.2897,30.1097,1.0202,1.4012,69.5125,8.3374
405,38.3554,55.8738,0.2888,29.2347,1.0035,1.4029,69.5490,8.3396
406,39.2930,55.4977,0.2839,31.4215,1.0384,1.3833,69.5921,8.3422
407,39.6693,57.3903,0.2831,27.7275,0.9697,1.3962,69.6400,8.3451
408,40.6789,59.8710,0.2800,25.8665,0.9880,1.3845,69.7095,8.3492
409,41.4578,59.4943,0.2758,27.0210,0.9714,1.3775,69.8359,8.3568
410,39.1769,57.2940,0.2855,28.8425,0.9701,1.4021,69.8744,8.3591
411,38.2586,55.9304,0.2893,30.5436,1.0217,1.3999,69.9139,8.3615
412,41.1627,55.8347,0.2746,30.9404,1.0405,1.3600,69.9183,8.3617
413,42.2842,59.3247,0.2715,26.0606,0.9834,1.3642,69.9748,8.3651
414,39.1736,54.1279,0.2839,31.3449,1.0340,1.3841,69.9830,8.3656
415,42.2769,56.7737,0.2696,29.0759,1.0357,1.3483,70.1305,8.3744
416,41.9076,57.3412,0.2718,32.0568,1.0133,1.3585,70.1361,8.3747
417,39.7690,60.0276,0.2847,23.5544,1.0365,1.3857,70.2554,8.3818
418,39.0844,55.9136,0.2851,29.8390,0.9627,1.4029,70.3490,8.3874
419,42.6092,57.6539,0.2685,28.8497,0.9559,1.3625,70.3769,8.3891
420,42.7463,58.2498,0.2683,29.1561,1.0047,1.3515,70.3958,8.3902
421,40.2539,54.0517,0.2784,31.1313,1.0428,1.3687,70.4207,8.3917
422,41.9720,59.6530,0.2733,26.5328,0.9789,1.3696,70.4353,8.3926
423,42.1691,57.1399,0.2704,28.0131,1.0443,1.3484,70.4863,8.3956
424,38.3592,57.8148,0.2900,28.4699,1.0323,1.3989,70.5050,8.3967
425,42.0242,57.0057,0.2710,31.5447,1.0189,1.3552,70.5078,8.3969
426,38.4907,56.8533,0.2887,28.4919,0.9973,1.4035,70.5308,8.3983
427,38.6569,57.7971,0.2885,27.9377,0.9991,1.4026,70.5318,8.3983
428,39.1314,54.6135,0.2843,31.8915,0.9508,1.4036,70.6128,8.4031
429,40.6396,55.0264,0.2769,30.3710,1.0502,1.3633,70.7506,8.4113
430,42.7510,57.9455,0.2680,27.8107,0.9669,1.3586,70.7744,8.4128
431,41.9404,59.3784,0.2733,25.9695,0.9788,1.3691,70.8330,8.4162
432,38.5178,54.6306,0.2874,31.4365,1.0228,1.3946,70.9042,8.4205
433,42.5280,57.6772,0.2689,25.9864,1.0464,1.3443,70.9699,8.4244
434,39.7812,58.4868,0.2833,27.7122,0.9708,1.3960,71.0052,8.4265
435,40.9361,52.0031,0.2744,32.3985,0.9718,1.3740,71.0097,8.4267
436,38.8975,55.9184,0.2861,30.4788,0.9609,1.4053,71.1681,8.4361
437,41.5319,59.4566,0.2754,26.0785,1.0440,1.3606,71.1739,8.4365
438,39.1391,56.0473,0.2849,31.3847,0.9458,1.4060,71.2527,8.4411
439,40.3970,52.0238,0.2771,33.7097,1.0076,1.3725,71.2730,8.4423
440,40.1112,60.5295,0.2834,24.9031,1.0336,1.3826,71.5358,8.4579
441,40.2253,52.2201,0.2780,32.8306,1.0166,1.3726,71.6304,8.4635
442,41.3919,58.9139,0.2756,27.8469,1.0408,1.3616,71.6424,8.4642
443,39.8909,53.5176,0.2800,31.8385,1.0358,1.3736,71.7836,8.4725
444,38.2663,54.8995,0.2888,31.3102,0.9948,1.4038,71.8741,8.4779
445,40.6727,56.5527,0.2775,28.8432,0.9456,1.3865,71.9277,8.4810
446,42.7807,59.1817,0.2689,26.5199,0.9911,1.3552,71.9803,8.4841
447,39.9247,60.2443,0.2841,26.2346,1.0036,1.3904,71.9919,8.4848
448,38.4970,58.2757,0.2896,25.5971,1.0433,1.3952,72.0733,8.4896
449,39.3784,60.0165,0.2866,26.0037,1.0219,1.3925,72.1090,8.4917
450,39.2766,52.8009,0.2829,32.9328,1.0142,1.3851,72.1254,8.4927
451,42.3498,57.4292,0.2697,25.6474,1.0573,1.3435,72.1278,8.4928
452,39.1046,59.5477,0.2876,25.8925,1.0212,1.3949,72.1436,8.4937
453,41.9180,53.9111,0.2699,33.7707,1.0093,1.3538,72.2798,8.5018
454,39.7044,53.3189,0.2809,35.3027,1.0081,1.3814,72.3924,8.5084
455,38.8479,58.4951,0.2880,28.9496,0.9857,1.4037,72.4172,8.5098
456,38.9131,54.3147,0.2853,30.7209,0.9689,1.4009,72.6844,8.5255
457,38.5677,54.1242,0.2870,32.9911,0.9647,1.4061,72.7966,8.5321
458,39.0013,54.6004,0.2849,32.8602,0.9421,1.4065,72.8274,8.5339
459,40.9460,51.9335,0.2743,35.1384,0.9963,1.3674,72.8550,8.5355
460,38.9930,59.3781,0.2880,27.8930,1.0032,1.3995,72.8709,8.5364
461,39.5107,55.2330,0.2827,29.3907,1.0579,1.3751,72.9001,8.5382
462,42.5697,58.3061,0.2692,26.9989,0.9677,1.3604,72.9061,8.5385
463,42.2228,54.3494,0.2686,31.4716,1.0241,1.3469,72.9426,8.5406
464,39.7876,52.0217,0.2802,35.4429,0.9484,1.3935,73.0679,8.5480
465,40.2626,60.2490,0.2824,25.2899,0.9996,1.3866,73.1764,8.5543
466,38.3913,54.2337,0.2879,31.8125,1.0133,1.3968,73.2533,8.5588
467,39.9535,59.0603,0.2829,26.2687,0.9815,1.3916,73.2893,8.5609
468,39.5419,52.1654,0.2815,32.5453,1.0085,1.3821,73.3258,8.5630
469,39.6726,59.1060,0.2844,26.8795,0.9825,1.3949,73.3766,8.5660
470,38.7682,58.4487,0.2884,26.0721,1.0126,1.3982,73.4687,8.5714
471,41.6061,58.0337,0.2738,28.4965,0.9464,1.3763,73.4946,8.5729
472,38.5743,55.9592,0.2877,31.1254,0.9626,1.4080,73.5343,8.5752
473,42.2125,53.6475,0.2683,32.5069,1.0132,1.3484,73.7299,8.5866
474,38.9966,56.3816,0.2859,29.6858,0.9605,1.4035,73.7536,8.5880
475,38.3924,56.6459,0.2890,29.6810,0.9831,1.4063,73.7913,8.5902
476,42.2065,60.3447,0.2728,25.3218,1.0006,1.3623,73.8899,8.5959
477,39.3287,53.4076,0.2829,34.2957,1.0156,1.3838,73.9783,8.6011
478,39.8792,60.5370,0.2846,24.0430,1.0409,1.3829,73.9926,8.6019
479,42.0714,58.7452,0.2721,26.1191,1.0483,1.3504,73.9981,8.6022
480,41.2742,60.2600,0.2774,24.0555,0.9976,1.3742,74.0476,8.6051
481,39.6239,57.0297,0.2831,28.4430,1.0630,1.3746,74.0699,8.6064
482,39.6346,51.8973,0.2809,32.9854,0.9974,1.3831,74.1359,8.6102
483,40.2533,60.5558,0.2828,25.7141,1.0017,1.3865,74.1787,8.6127
484,42.0325,58.3114,0.2719,26.5529,0.9634,1.3673,74.2874,8.6190
485,42.2668,53.6149,0.2681,30.6744,1.0261,1.3447,74.2970,8.6196
486,41.0474,52.5627,0.2739,35.9613,0.9985,1.3653,74.3914,8.6250
487,38.3709,56.9173,0.2893,30.7133,1.0345,1.3951,74.5067,8.6317
488,38.4173,57.7311,0.2896,28.8766,0.9928,1.4051,74.5212,8.6326
489,41.9793,60.6435,0.2743,24.7169,1.0060,1.3645,74.5301,8.6331
490,42.6049,58.9102,0.2695,24.8661,0.9865,1.3565,74.6582,8.6405
491,39.8512,60.4656,0.2847,25.3275,1.0424,1.3823,74.7902,8.6481
492,41.8299,56.9870,0.2720,29.0051,1.0478,1.3499,74.7953,8.6484
493,38.9686,59.6370,0.2883,25.5619,1.0262,1.3945,74.8260,8.6502
494,42.3068,60.2444,0.2722,22.8851,1.0241,1.3557,74.9164,8.6554
495,42.8867,59.3639,0.2685,25.3646,1.0044,1.3503,74.9831,8.6593
496,42.7784,59.3661,0.2691,23.9287,1.0282,1.3468,74.9874,8.6595
497,40.9794,60.7201,0.2793,24.2898,1.0031,1.3774,74.9927,8.6598
498,41.6175,52.4212,0.2710,32.4409,0.9528,1.3682,75.0322,8.6621
499,39.2650,53.8569,0.2833,33.0237,1.0287,1.3817,75.0582,8.6636
500,39.5553,52.8500,0.2816,34.2237,1.0156,1.3801,75.1257,8.6675
501,38.9449,54.4616,0.2852,31.3352,1.0398,1.3838,75.1270,8.6676
502,41.4253,60.8091,0.2772,25.8648,0.9925,1.3743,75.1724,8.6702
503,42.5774,59.6888,0.2704,26.2660,0.9838,1.3591,75.1900,8.6712
504,39.4702,51.9831,0.2818,34.6706,0.9620,1.3932,75.1938,8.6714
505,40.1910,53.8699,0.2786,31.4349,1.0454,1.3667,75.3769,8.6820
506,40.9131,57.4895,0.2769,28.3690,1.0595,1.3596,75.4236,8.6847
507,41.9452,60.0255,0.2738,26.0938,1.0309,1.3577,75.4417,8.6857
508,41.0524,58.9874,0.2774,26.1746,1.0608,1.3604,75.4734,8.6875
509,38.5469,54.5691,0.2872,32.5241,1.0252,1.3916,75.5876,8.6941
510,38.3447,54.0321,0.2880,31.5958,1.0152,1.3957,75.5898,8.6942
511,40.2910,60.0960,0.2821,26.0671,1.0500,1.3741,75.7858,8.7055
512,40.6100,55.3207,0.2771,30.6734,1.0529,1.3614,75.8312,8.7081
513,40.3727,60.5750,0.2822,25.0943,1.0458,1.3751,75.8588,8.7097
514,41.2614,61.0341,0.2782,23.1088,1.0340,1.3681,75.8723,8.7105
515,40.4567,52.4813,0.2769,33.9124,1.0192,1.3675,75.8749,8.7106
516,41.8258,60.6603,0.2750,25.0874,0.9947,1.3682,75.8980,8.7119
517,38.3562,53.7333,0.2879,33.1061,0.9979,1.3991,75.9564,8.7153
518,39.4970,60.5096,0.2865,26.6567,1.0195,1.3909,76.0208,8.7190
519,41.6004,54.3525,0.2717,32.2611,1.0326,1.3518,76.0341,8.7198
520,42.4729,60.1458,0.2713,25.9486,0.9922,1.3594,76.0405,8.7201
521,39.4669,58.1083,0.2846,27.4003,0.9709,1.3968,76.1230,8.7248
522,42.5785,59.6689,0.2703,25.9309,1.0211,1.3508,76.1433,8.7260
523,39.2784,52.5565,0.2829,33.5277,0.9566,1.3966,76.2503,8.7321
524,40.6765,58.8130,0.2791,28.3732,1.0497,1.3664,76.3353,8.7370
525,40.6338,56.2441,0.2775,30.1904,1.0550,1.3616,76.6325,8.7540
526,42.2421,60.3340,0.2726,25.1829,1.0228,1.3560,76.6932,8.7575
527,39.1824,58.7272,0.2865,27.9456,0.9772,1.4000,76.7325,8.7597
528,41.5853,60.9881,0.2766,23.3925,1.0317,1.3641,76.7586,8.7612
529,40.7001,51.4853,0.2755,33.7449,1.0055,1.3666,76.7638,8.7615
530,40.5056,60.5570,0.2815,25.6910,1.0441,1.3732,77.1081,8.7811
531,40.4824,52.4867,0.2768,34.0692,1.0199,1.3665,77.2461,8.7890
532,38.4453,53.4507,0.2873,33.0343,0.9760,1.4023,77.4893,8.8028
533,40.7486,59.5296,0.2793,26.1308,0.9705,1.3829,77.7987,8.8204
534,39.1182,52.2151,0.2836,32.3965,0.9914,1.3894,77.8091,8.8209
535,39.1450,52.0633,0.2835,34.3939,0.9691,1.3944,77.8547,8.8235
536,39.5226,59.7216,0.2856,26.5024,0.9902,1.3944,77.8918,8.8256
537,41.4015,51.8731,0.2720,35.5909,0.9941,1.3599,78.0904,8.8369
538,40.8983,51.2527,0.2744,34.8006,0.9938,1.3661,78.1193,8.8385
539,40.7178,53.2970,0.2758,34.1393,1.0245,1.3628,78.1763,8.8417
540,38.7985,56.1598,0.2867,31.8205,0.9409,1.4084,78.2412,8.8454
541,38.7807,52.7903,0.2855,34.1057,1.0041,1.3908,78.2877,8.8480
542,40.6896,60.4267,0.2805,26.4835,0.9781,1.3840,78.3142,8.8495
543,39.9493,51.2409,0.2793,35.9544,0.9608,1.3858,78.3586,8.8520
544,41.0875,60.0264,0.2781,26.1723,1.0488,1.3632,78.5458,8.8626
545,38.9749,59.6563,0.2883,26.0012,1.0107,1.3962,78.6584,8.8690
546,41.3158,60.0616,0.2770,24.4230,0.9852,1.3736,78.7669,8.8751
547,39.7892,60.9022,0.2854,26.8977,1.0225,1.3863,79.0320,8.8900
548,42.8912,59.6908,0.2688,25.5621,0.9906,1.3520,79.3119,8.9057
549,38.7098,56.6210,0.2874,28.9951,0.9673,1.4034,79.3249,8.9065
550,38.7738,52.4161,0.2854,34.1185,0.9911,1.3932,79.3262,8.9065
551,38.6488,52.6905,0.2861,32.9551,0.9916,1.3948,79.3509,8.9079
552,38.4507,55.3792,0.2881,30.7461,0.9630,1.4061,79.3917,8.9102
553,42.1567,52.6250,0.2683,33.1872,1.0076,1.3471,79.3955,8.9104
554,41.9360,60.8312,0.2747,25.1736,0.9914,1.3663,79.4976,8.9161
555,38.2871,55.3327,0.2889,30.4488,1.0435,1.3900,79.6120,8.9226
556,40.9185,54.2803,0.2751,32.9779,1.0368,1.3580,79.7216,8.9287
557,41.3951,60.7001,0.2772,23.8413,0.9961,1.3716,79.7584,8.9308
558,39.7775,51.2885,0.2801,34.2868,0.9785,1.3830,79.8592,8.9364
559,38.9771,53.5812,0.2847,31.3111,0.9591,1.3985,80.0197,8.9454
560,39.0523,55.3717,0.2850,31.4479,1.0483,1.3798,80.0374,8.9464
561,42.3609,60.5692,0.2723,23.3137,1.0313,1.3522,80.0451,8.9468
562,41.3542,52.1261,0.2723,33.0825,1.0206,1.3540,80.0514,8.9471
563,39.2117,59.9713,0.2874,26.6841,0.9988,1.3959,80.1251,8.9513
564,41.5830,60.1859,0.2758,26.6743,1.0371,1.3592,80.1701,8.9538
565,41.9426,60.7248,0.2745,26.0936,1.0211,1.3595,80.2393,8.9576
566,39.3699,54.8573,0.2832,30.7166,1.0556,1.3738,80.2523,8.9584
567,41.7072,51.6863,0.2704,32.7129,0.9643,1.3619,80.3031,8.9612
568,39.7872,52.1821,0.2802,32.1782,1.0316,1.3710,80.7237,8.9846
569,39.6758,51.4344,0.2807,33.4069,1.0049,1.3778,80.7812,8.9878
570,40.2195,50.9038,0.2778,35.9242,0.9715,1.3787,80.7884,8.9882
571,41.6572,60.8386,0.2760,24.8665,1.0362,1.3599,80.8026,8.9890
572,38.9080,52.0259,0.2846,34.5932,0.9800,1.3933,80.8576,8.9921
573,41.1862,61.0158,0.2786,22.7293,1.0102,1.3717,80.9110,8.9951
574,38.8014,53.8436,0.2857,31.5628,1.0407,1.3823,81.0673,9.0037
575,41.7163,60.1200,0.2751,26.6263,0.9660,1.3718,81.1085,9.0060
576,41.9027,58.1042,0.2724,27.6906,0.9449,1.3694,81.1128,9.0063
577,38.9662,52.3459,0.2844,35.7406,0.9968,1.3886,81.2094,9.0116
578,38.9679,56.2586,0.2859,28.1329,0.9661,1.3989,81.2320,9.0129
579,42.6498,59.9465,0.2702,24.0644,0.9931,1.3542,81.2660,9.0148
580,38.8722,52.5591,0.2849,32.5745,1.0200,1.3847,81.2855,9.0158
581,41.7545,60.1501,0.2749,25.0641,0.9775,1.3689,81.2923,9.0162
582,39.7978,60.0360,0.2845,23.5571,1.0092,1.3863,81.3736,9.0207
583,38.9447,53.7477,0.2849,31.1672,0.9566,1.3990,81.4461,9.0248
584,41.3361,60.4957,0.2773,25.6887,0.9763,1.3751,81.4596,9.0255
585,39.9823,52.7341,0.2794,35.1946,1.0178,1.3716,81.4757,9.0264
586,40.3645,61.0613,0.2827,22.8089,1.0212,1.3793,81.4968,9.0276
587,42.8173,60.1293,0.2696,25.9718,0.9895,1.3532,81.5974,9.0331
588,38.2314,53.8417,0.2886,30.9182,0.9907,1.3999,81.6544,9.0363
589,39.8995,61.2077,0.2852,24.7045,1.0263,1.3840,81.6620,9.0367
590,38.3077,53.0736,0.2879,34.2511,0.9882,1.3990,81.7337,9.0407
591,38.1991,55.5637,0.2894,28.5103,0.9922,1.4016,81.7660,9.0425
592,41.4274,59.3597,0.2758,24.1616,0.9782,1.3706,81.9252,9.0513
593,41.3869,60.3029,0.2769,24.9149,0.9791,1.3731,82.0320,9.0571
594,38.1045,53.9420,0.2892,32.2177,1.0168,1.3954,82.0803,9.0598
595,39.4961,60.9800,0.2869,25.0561,1.0307,1.3871,82.1635,9.0644
596,39.2308,52.1457,0.2830,32.4752,1.0240,1.3788,82.2503,9.0692
597,40.7897,60.5461,0.2801,24.5547,0.9879,1.3792,82.3394,9.0741
598,39.2665,51.6099,0.2828,34.4362,0.9989,1.3836,82.4787,9.0818
599,41.7866,53.7834,0.2705,32.3334,1.0351,1.3457,82.5283,9.0845
600,42.7693,60.3714,0.2701,23.8824,1.0153,1.3488,82.5288,9.0845
601,39.9043,56.8629,0.2816,27.9562,0.9488,1.3910,82.5571,9.0861
602,38.4523,53.0732,0.2872,32.4009,0.9757,1.3997,82.8630,9.1029
603,39.8879,52.3119,0.2797,31.9250,0.9531,1.3865,82.8753,9.1036
604,38.8781,53.2598,0.2851,34.5636,1.0188,1.3847,82.9163,9.1058
605,40.6434,60.7100,0.2810,26.5034,1.0427,1.3696,82.9462,9.1075
606,38.4034,56.6905,0.2890,29.5394,0.9672,1.4057,82.9712,9.1089
607,41.9088,58.3209,0.2725,28.4151,0.9381,1.3704,83.0568,9.1136
608,38.5979,52.5539,0.2863,33.6438,0.9697,1.3989,83.1421,9.1182
609,41.9104,51.5591,0.2694,33.8920,0.9559,1.3600,83.1686,9.1197
610,40.9119,61.6047,0.2805,23.4744,1.0339,1.3705,83.4084,9.1328
611,39.2197,59.9679,0.2874,27.8787,0.9831,1.3978,83.5634,9.1413
612,38.1702,53.5443,0.2888,32.4252,1.0159,1.3938,83.5671,9.1415
613,41.7395,51.7583,0.2702,34.4208,1.0040,1.3509,83.8076,9.1547
614,40.4234,56.3722,0.2787,29.2137,1.0696,1.3586,83.9034,9.1599
615,37.9651,53.9782,0.2899,31.5910,1.0157,1.3966,83.9721,9.1636
616,41.1417,60.6299,0.2784,26.6877,0.9683,1.3784,84.0710,9.1690
617,42.9218,60.0626,0.2690,24.5135,1.0224,1.3439,84.1055,9.1709
618,38.3907,56.5193,0.2890,32.4895,1.0365,1.3898,84.1648,9.1741
619,39.9185,60.4412,0.2843,24.7835,0.9956,1.3872,84.3033,9.1817
620,38.9680,52.5196,0.2844,32.9765,1.0258,1.3810,84.3095,9.1820
621,40.0316,52.8438,0.2791,33.7322,1.0332,1.3666,84.3799,9.1859
622,39.0191,60.6292,0.2890,25.7076,1.0446,1.3879,84.5875,9.1971
623,38.3026,57.4164,0.2900,28.1600,0.9834,1.4035,84.7452,9.2057
624,41.9382,61.0885,0.2749,25.7565,0.9828,1.3665,84.8297,9.2103
625,38.5856,52.2165,0.2863,34.4092,0.9914,1.3929,84.9424,9.2164
626,40.0629,52.0175,0.2788,34.1851,1.0240,1.3674,84.9468,9.2167
627,41.0451,50.8768,0.2737,33.9083,1.0009,1.3596,85.0121,9.2202
628,40.4185,51.8815,0.2770,34.2455,1.0226,1.3631,85.0169,9.2205
629,37.9767,53.6407,0.2898,33.5801,0.9985,1.3996,85.0695,9.2233
630,38.8317,55.4571,0.2862,32.2371,1.0460,1.3809,85.0736,9.2235
631,39.4747,51.1407,0.2816,35.1826,0.9917,1.3813,85.1347,9.2268
632,42.0255,52.1665,0.2689,32.5757,1.0191,1.3436,85.3046,9.2360
633,39.5821,60.9232,0.2865,22.3274,1.0381,1.3833,85.3532,9.2387
634,38.7276,52.4479,0.2856,34.1630,1.0125,1.3863,85.3671,9.2394
635,42.8512,60.4319,0.2697,26.3328,0.9879,1.3523,85.3744,9.2398
636,41.9416,61.5007,0.2753,23.3869,1.0093,1.3618,85.5809,9.2510
637,40.5177,59.6601,0.2806,28.0431,1.0525,1.3656,85.6442,9.2544
638,38.2355,53.2583,0.2883,32.2560,1.0211,1.3908,85.7213,9.2586
639,38.2681,53.2282,0.2882,32.5280,0.9728,1.4015,85.7221,9.2586
640,40.5246,52.7468,0.2766,33.5573,1.0353,1.3594,85.7901,9.2623
641,42.3997,58.9407,0.2706,27.8601,0.9453,1.3627,85.9505,9.2710
642,38.8001,51.8942,0.2852,33.7658,1.0011,1.3874,86.0006,9.2736
643,42.8609,60.5173,0.2697,26.0109,0.9943,1.3508,86.0208,9.2747
644,42.9014,60.4467,0.2695,25.5529,1.0042,1.3480,86.1048,9.2793
645,40.3962,61.1836,0.2827,24.7970,1.0506,1.3709,86.1365,9.2810
646,40.8079,61.8275,0.2813,23.8601,1.0180,1.3744,86.2548,9.2873
647,38.7732,59.2612,0.2890,25.3843,1.0041,1.3958,86.4586,9.2983
648,39.8378,55.7070,0.2812,29.9384,1.0690,1.3641,86.4727,9.2991
649,38.4625,52.4352,0.2870,32.7039,0.9891,1.3944,86.4914,9.3001
650,39.6847,51.7187,0.2807,34.9002,1.0156,1.3730,86.5426,9.3028
651,41.2367,52.9723,0.2731,33.7209,1.0319,1.3509,86.7553,9.3143
652,38.5562,52.1593,0.2865,33.2516,0.9958,1.3914,86.8959,9.3218
653,38.9673,54.2380,0.2850,31.0855,1.0557,1.3752,87.1016,9.3328
654,39.6800,52.7851,0.2809,32.6351,1.0431,1.3676,87.6400,9.3616
655,38.9178,60.3731,0.2892,26.5871,1.0038,1.3959,87.6680,9.3631
656,38.5191,52.0550,0.2866,34.3718,0.9814,1.3948,87.6800,9.3638
657,42.6736,60.7363,0.2709,24.2622,1.0256,1.3465,87.6984,9.3647
658,42.3350,60.9468,0.2728,25.7080,1.0210,1.3520,87.7475,9.3674
659,42.8756,59.2577,0.2685,26.1489,1.0375,1.3378,87.8683,9.3738
660,40.1592,50.5399,0.2781,36.3946,0.9553,1.3801,88.1145,9.3869
