噪声等级_%,偏差_x0_mm_均值,偏差_x0_mm_绝对值最大,偏差_y0_mm_均值,偏差_y0_mm_绝对值最大,偏差_d_mm_均值,偏差_d_mm_绝对值最大,偏差_theta0_度_均值,偏差_theta0_度_绝对值最大,偏差_delta_theta_度_均值,偏差_delta_theta_度_绝对值最大,偏差_gain_均值,偏差_gain_绝对值最大,角度平均绝对偏差_度_均值,角度平均绝对偏差_度_绝对值最大,角度最大偏差_度_均值,角度最大偏差_度_绝对值最大,拟合RMSE_均值,拟合RMSE_绝对值最大
0.000000,-0.007936,0.037669,0.013361,0.032850,0.000036,0.000179,-0.053347,0.187842,0.000498,0.001559,0.000103,0.000561,0.033512,0.046125,0.204564,0.264973,0.072265,0.096005
1.000000,-0.013403,0.025521,-0.003277,0.031581,0.000054,0.000119,0.048816,0.231835,-0.000078,0.001125,0.000129,0.000361,0.040376,0.048948,0.180044,0.218543,1.112072,1.115133
2.000000,0.002751,0.024125,0.003717,0.021954,-0.000023,0.000124,-0.006188,0.083741,-0.000147,0.000597,-0.000085,0.001042,0.060077,0.068276,0.229226,0.259675,2.218790,2.230168
5.000000,0.000145,0.030315,-0.010261,0.030231,-0.000018,0.000173,0.021686,0.123282,-0.000177,0.001151,-0.000386,0.000991,0.118765,0.129508,0.267789,0.297958,5.549175,5.560519
10.000000,0.003566,0.027342,0.001808,0.054053,-0.000028,0.000151,-0.005915,0.110069,-0.000053,0.000970,0.000715,0.003791,0.150789,0.157940,0.281717,0.309098,11.098850,11.138956
